NLB Banka,1.5,4,Hristijan Todorovski Karposh 80,Skopje,,MK,http://www.nlb.mk/,+389 2 260 1666,Bank,"https://www.google.com/maps/place/NLB+Banka/@42.0210376,21.4494642,17z/data=!3m1!4b1!4m5!3m4!1s0x135415137b44dccd:0x3b7965a64e9c750c!8m2!3d42.0210466!4d21.4494676?hl=en"
NLB Banka ATM,,0,Butelska,Skopje,,MK,http://nlb.mk/,+389 2 510 0555,ATM,"https://www.google.com/maps/place/NLB+Banka+ATM/@42.0451388,21.4491481,17z/data=!3m1!4b1!4m5!3m4!1s0x13546acad288f571:0xf52755c61c678ad6!8m2!3d42.0451388!4d21.4491481?hl=en"
NLB Banka АТМ,,0,Blvd. Alexander the Great 4,Skopje,,MK,http://nlb.mk/,+389 2 510 0555,ATM,"https://www.google.com/maps/place/NLB+Banka+%D0%90%D0%A2%D0%9C/@42.0014899,21.4608181,17z/data=!3m1!4b1!4m5!3m4!1s0x135415832d4b587d:0x46f1f8e4bad5bab0!8m2!3d42.0014899!4d21.4608181?hl=en"
NLB Banka ATM,,0,ul. Romanija bb Komuna,Skopje,,MK,http://nlb.mk/,+389 2 510 0555,ATM,"https://www.google.com/maps/place/NLB+Banka+ATM/@41.992487,21.4815322,17z/data=!3m1!4b1!4m5!3m4!1s0x13543e2f4a12a289:0x6c5729e11dfee5e6!8m2!3d41.992487!4d21.4815322?hl=en"
NLB Banka АТМ,5,1,Butelska bb,Skopje,,MK,http://nlb.mk/,+389 2 510 0555,ATM,"https://www.google.com/maps/place/NLB+Banka+%D0%90%D0%A2%D0%9C/@42.0303337,21.444682,17z/data=!3m1!4b1!4m5!3m4!1s0x1354155ce86a9c57:0x425d5509cebcbb03!8m2!3d42.0303325!4d21.4446921?hl=en"
NLB Banka АТМ,,0,Kliment Ohridski b.b,Skopje,,MK,http://nlb.mk/,+389 2 510 0555,ATM,"https://www.google.com/maps/place/NLB+Banka+%D0%90%D0%A2%D0%9C/@41.9994665,21.4259654,17z/data=!3m1!4b1!4m5!3m4!1s0x1354144ce76c936b:0xb9fdba286178c0bc!8m2!3d41.9994692!4d21.4259596?hl=en"
NLB Banka АТМ,,0,AMSM,Skopje,,MK,http://nlb.mk/,+389 2 510 0555,ATM,"https://www.google.com/maps/place/NLB+Banka+%D0%90%D0%A2%D0%9C/@42.0086834,21.3822683,17z/data=!3m1!4b1!4m5!3m4!1s0x13541477ae655555:0x975e6b759e174bea!8m2!3d42.0086872!4d21.3822457?hl=en"
NLB Banka АТМ,,0,Skopje Partizanski odredi 46a Splendit salon za ubavina Skopje,Skopje,,MK,http://nlb.mk/,+389 2 510 0555,ATM,"https://www.google.com/maps/place/NLB+Banka+%D0%90%D0%A2%D0%9C/@42.000614,21.4143398,17z/data=!3m1!4b1!4m5!3m4!1s0x13541445e980d03f:0x64a7d6eb4ac15d9!8m2!3d42.0006244!4d21.4143436?hl=en"
NLB Banka АТМ,,0,Radishanska BB,Skopje,,MK,http://nlb.mk/,+389 2 510 0555,ATM,"https://www.google.com/maps/place/NLB+Banka+%D0%90%D0%A2%D0%9C/@42.001779,21.40759,17z/data=!3m1!4b1!4m5!3m4!1s0x13541443c5090b81:0x22c09de491db6cd!8m2!3d42.001779!4d21.40759?hl=en"
NLB Banka АТМ,2,2,Boulevard Kocho Racin,Skopje,,MK,http://nlb.mk/,+389 2 510 0555,ATM,"https://www.google.com/maps/place/NLB+Banka+%D0%90%D0%A2%D0%9C/@41.9925846,21.4368809,17z/data=!3m1!4b1!4m5!3m4!1s0x135415b7ac225f91:0xc980ac3b1474ee10!8m2!3d41.9925915!4d21.4368733?hl=en"
